ayush_term,description
Amavata,Inflammatory joint disorder caused by accumulation of ama and vata imbalance
Sandhivata,Degenerative joint disorder characterized by pain and stiffness
Prameha,Metabolic disorder involving excessive urination and glucose imbalance
Amlapitta,Gastric disorder caused by excess pitta leading to acidity
Grahani,Chronic digestive disorder affecting intestinal absorption
Jwara,Febrile condition caused by infection or dosha imbalance
Kasa,Respiratory disorder characterized by persistent cough
Tamaka Shwasa,Chronic respiratory disorder comparable to bronchial asthma
Pandu,Anemia-like condition characterized by pallor and fatigue
Arsha,Anorectal disorder similar to hemorrhoids
Atisara,Acute or chronic diarrheal disorder
Udavarta,Disorder caused by upward movement of vata
Hridroga,Cardiac disorder affecting heart function
Mutrakrichra,Urinary disorder with painful micturition
Mutraghata,Urinary retention disorder
Kustha,Chronic skin disorder including psoriasis and eczema
Visarpa,Spreading inflammatory skin disease
Raktapitta,Bleeding disorder caused by vitiated blood
Shotha,Inflammatory swelling or edema
Kshaya,Wasting disease comparable to tuberculosis
Rajayakshma,Chronic infectious wasting disease
Unmada,Mental disorder affecting cognition and behavior
Apasmara,Neurological disorder similar to epilepsy
Gridhrasi,Neurological pain disorder comparable to sciatica
Pakshaghata,Paralytic disorder affecting one side of body
Agnimandya,Low digestive fire leading to indigestion
Ajirna,Indigestion caused by improper digestion
Chardi,Vomiting disorder
Trishna,Excessive thirst disorder
Aruchi,Loss of appetite disorder
Hikka,Hiccup disorder
Pinasa,Chronic rhinitis or sinusitis
Karnashula,Ear pain disorder
Netra Abhishyanda,Inflammatory eye disorder
Mukharoga,Diseases of oral cavity
Dantashula,Toothache disorder
Gulma,Abdominal lump disorder
Pliharoga,Splenic disorder
Yakritroga,Liver disorder
Vatarakta,Gout-like disorder caused by vata and blood imbalance
Shukradosha,Reproductive disorder affecting semen quality
Yonivyapad,Gynecological disorders
Garbhapata,Spontaneous abortion
Garbhini Vyapad,Pregnancy-related disorders
Balashosha,Pediatric malnutrition disorder
Phakka,Delayed walking disorder in children
Kumarashwasa,Pediatric respiratory disorder
Kumaratisara,Pediatric diarrhea
Kumarajwara,Pediatric fever disorder
Sthoulya,Obesity disorder
Karshya,Underweight disorder
Pratishyaya,Common cold disorder
Sirashula,Headache disorder
Ardhavabhedaka,Migraine-like headache
Bhrama,Vertigo disorder
Tandra,Excessive drowsiness disorder
Klama,Chronic fatigue disorder
Shukrameha,Urinary disorder with semen discharge
Vatavyadhi,Neuromuscular disorders caused by vata
Pittaja Jwara,Pitta dominant fever
Kaphaja Jwara,Kapha dominant fever
Vataja Jwara,Vata dominant fever
Sannipata Jwara,Severe fever involving all doshas
Kaphaja Kasa,Productive cough disorder
Vataja Kasa,Dry cough disorder
Pittaja Kasa,Inflammatory cough disorder
Halimaka,Jaundice-like disorder
Kamala,Liver disorder comparable to hepatitis
Yakshma,Pulmonary disorder
Arochaka,Taste perception disorder
Medoroga,Disorder of fat metabolism
Madhumeha,Diabetes mellitus-like disorder
Prameha,Voidance disorder with excessive urination
Shvitra,Vitiligo-like skin depigmentation disorder
Kshudra Kushtha,Mild skin disorder
Maha Kushtha,Severe skin disorder
Mamsa Kshaya,Muscle wasting disorder
Asthi Kshaya,Bone wasting disorder
Majja Kshaya,Bone marrow wasting disorder
Shukra Kshaya,Semen deficiency disorder
Ojas Kshaya,Immunity deficiency disorder
Sthaulya,Obesity-related disorder
Medoroga,Disorder related to abnormal fat accumulation
Agnimandya,Disorder due to low digestive fire
Ama,Vital energy blockage due to toxins
Nidana,Causative factors of diseases
Shodhana,Purification therapies
Shamana,Palliative therapies
Dinacharya,Daily routine practices for health maintenance
Ritucharya,Seasonal routine practices for health maintenance
Swasthavritta,Principles of health and wellness
Ayurveda,Traditional Indian system of medicine focused on balance of body, mind, and spirit
